number,title,url,difficulty,acceptance,likes,popularity
918,Maximum Sum Circular Subarray,https://leetcode.com/problems/maximum-sum-circular-subarray,Medium,35.00100069138677,1906,23.24390243902439
1423,Maximum Points You Can Obtain from Cards,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,Medium,48.9281249837909,2059,22.877777777777776
297,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Hard,51.54443664532715,4924,22.796296296296298
581,Shortest Unsorted Continuous Subarray,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,Medium,33.34547422133423,4283,22.66137566137566
424,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement,Medium,49.42849606541522,2940,22.615384615384617
438,Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string,Medium,46.04687213944188,4764,22.578199052132703
116,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,Medium,51.68193784386504,4076,22.519337016574585
844,Backspace String Compare,https://leetcode.com/problems/backspace-string-compare,Easy,47.28805356610628,2837,22.515873015873016
1351,Count Negative Numbers in a Sorted Matrix,https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix,Easy,75.3949850767191,1370,22.459016393442624
1192,Critical Connections in a Network,https://leetcode.com/problems/critical-connections-in-a-network,Hard,51.80550385155064,2868,22.40625
1155,Number of Dice Rolls With Target Sum,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum,Medium,47.68935245647221,1522,22.38235294117647
1161,Maximum Level Sum of a Binary Tree,https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree,Medium,67.39233672423704,1029,22.369565217391305
394,Decode String,https://leetcode.com/problems/decode-string,Medium,54.06960185130244,5750,22.2007722007722
767,Reorganize String,https://leetcode.com/problems/reorganize-string,Medium,50.90311159271462,3460,22.17948717948718
368,Largest Divisible Subset,https://leetcode.com/problems/largest-divisible-subset,Medium,38.83792946085142,2140,22.061855670103093
169,Majority Element,https://leetcode.com/problems/majority-element,Easy,61.01520722420559,6142,21.935714285714287
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists,Hard,44.34660915575328,8351,21.918635170603675
44,Wildcard Matching,https://leetcode.com/problems/wildcard-matching,Hard,25.937813201918924,3545,21.882716049382715
378,Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,Medium,58.14057459387563,4522,21.845410628019323
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Medium,45.060597879621454,1549,21.816901408450704
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence,Medium,47.67955768962253,6597,21.62950819672131
139,Word Break,https://leetcode.com/problems/word-break,Medium,42.79920031286791,7745,21.454293628808863
56,Merge Intervals,https://leetcode.com/problems/merge-intervals,Medium,42.55965040375386,8991,21.40714285714286
118,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle,Easy,58.638988102671696,3342,21.286624203821656
973,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin,Medium,65.30729515086023,3657,21.261627906976745
1031,Maximum Sum of Two Non-Overlapping Subarrays,https://leetcode.com/problems/maximum-sum-of-two-non-overlapping-subarrays,Medium,59.11379657603223,1254,21.25423728813559
542,01 Matrix,https://leetcode.com/problems/01-matrix,Medium,42.842591389093,3077,21.22068965517241
301,Remove Invalid Parentheses,https://leetcode.com/problems/remove-invalid-parentheses,Hard,45.57067980295567,3797,21.21229050279329
525,Contiguous Array,https://leetcode.com/problems/contiguous-array,Medium,44.24745940375937,3209,21.11184210526316
889,Construct Binary Tree from Preorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal,Medium,68.61364313375037,1477,21.1
16,3Sum Closest,https://leetcode.com/problems/3sum-closest,Medium,46.74248786528689,4193,21.07035175879397
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray,Easy,48.38392892931192,13926,21.004524886877828
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,Medium,32.070307068925246,16852,20.830655129789864
387,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string,Easy,54.94549385093605,3401,20.73780487804878
442,Find All Duplicates in an Array,https://leetcode.com/problems/find-all-duplicates-in-an-array,Medium,70.10220059047134,4083,20.725888324873097
572,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree,Easy,44.72678095702926,3978,20.71875
515,Find Largest Value in Each Tree Row,https://leetcode.com/problems/find-largest-value-in-each-tree-row,Medium,63.17932845147924,1532,20.7027027027027
449,Serialize and Deserialize BST,https://leetcode.com/problems/serialize-and-deserialize-bst,Medium,55.07199627548136,2206,20.61682242990654
1631,Path With Minimum Effort,https://leetcode.com/problems/path-with-minimum-effort,Medium,50.45237330714164,1523,20.58108108108108
951,Flip Equivalent Binary Trees,https://leetcode.com/problems/flip-equivalent-binary-trees,Medium,66.19086428968596,1231,20.516666666666666
922,Sort Array By Parity II,https://leetcode.com/problems/sort-array-by-parity-ii,Easy,70.70131010609511,1206,20.440677966101696
813,Largest Sum of Averages,https://leetcode.com/problems/largest-sum-of-averages,Medium,51.720891922103895,1349,20.439393939393938
257,Binary Tree Paths,https://leetcode.com/problems/binary-tree-paths,Easy,55.84360545685709,2999,20.263513513513512
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements,Medium,63.29619424915195,5837,20.197231833910035
279,Perfect Squares,https://leetcode.com/problems/perfect-squares,Medium,50.16898919684554,5013,20.132530120481928
338,Counting Bits,https://leetcode.com/problems/counting-bits,Easy,71.53267139279495,4680,20.085836909871244
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Easy,47.34564673608405,3098,19.98709677419355
