number,title,url,difficulty,likes,dislikes,accepted,submissions,acceptance,popularity
1930,Unique Length-3 Palindromic Subsequences,https://leetcode.com/problems/unique-length-3-palindromic-subsequences,Medium,317,10,12384,25059,49.419370286124746,31.7
834,Sum of Distances in Tree,https://leetcode.com/problems/sum-of-distances-in-tree,Hard,1553,49,23558,49125,47.95521628498728,31.693877551020407
1026,Maximum Difference Between Node and Ancestor,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor,Medium,1457,46,90783,128913,70.4219124525843,31.67391304347826
668,Kth Smallest Number in Multiplication Table,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table,Hard,820,26,28825,59365,48.55554619725427,31.53846153846154
1190,Reverse Substrings Between Each Pair of Parentheses,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,Medium,914,29,38206,58732,65.05142000953484,31.517241379310345
216,Combination Sum III,https://leetcode.com/problems/combination-sum-iii,Medium,2138,68,245538,396060,61.99515224965915,31.441176470588236
814,Binary Tree Pruning,https://leetcode.com/problems/binary-tree-pruning,Medium,1980,63,120548,169140,71.27113633676244,31.428571428571427
1823,Find the Winner of the Circular Game,https://leetcode.com/problems/find-the-winner-of-the-circular-game,Medium,405,13,18629,25514,73.01481539546916,31.153846153846153
410,Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum,Hard,3201,103,136373,284676,47.90463544520789,31.07766990291262
236,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Medium,6989,226,745311,1442176,51.67961469335227,30.924778761061948
309,Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,Medium,4092,133,207892,421867,49.279038180279564,30.76691729323308
